File,cSpell message,Result type,Template,Issue,notes
_guide-pages/showing-civictech-experience-on-linkedin.html,"""Agbaje"": Unknown word. [ln 12]",False Positive,ignoreWords,,
_guide-pages/survey-reporting-dashboard-guide.html,"""Nedivi"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/survey-reporting-dashboard-guide.html,"""Livnat"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/survey-reporting-dashboard-guide.html,"""direclty"": Unknown word.",Misspelling,Misspelling,https://github.com/hackforla/website/issues/6241,
_guide-pages/survey-reporting-dashboard-guide.html,"""ARRAYFORMULA"": Unknown word.",False Positive,words,,
_guide-pages/survey-reporting-dashboard-guide.html,"""trendlines"": Unknown word.",False Positive,words,,
_guide-pages/survey-reporting-dashboard-guide.html,"""markdownify"": Unknown word.",False Positive,words,,
_guide-pages/using-kanban-project.html,"""Kanban"": Unknown word [ln 2]",False Positive,words,,
_guide-pages/using-kanban-project.html,"""Kanban"": Unknown word [ln 3]",False Positive,words,,
_guide-pages/using-kanban-project.html,"""Stubbs"": Unknown word [ln 12]",False Positive,ignoreWords,,
_guide-pages/using-kanban-project.html,"""Alabi"": Unknown word [ln 13]",False Positive,ignoreWords,,
_guide-pages/using-kanban-project.html,"""Kayode"": Unknown word [ln 13]",False Positive,ignoreWords,,
_guide-pages/using-kanban-project.html,"""Tung"": Unknown word. [ln 14]",False Positive,ignoreWords,,
_guide-pages/using-kanban-project.html,"""Tarang"": Unknown word [ln 16]",False Positive,ignoreWords,,
_guide-pages/using-kanban-project.html,"""Pawan"": Unknown word [ln 17]",False Positive,ignoreWords,,
_guide-pages/using-kanban-project.html,"""Murthy"": Unknown word [ln 17]",False Positive,,,
_guide-pages/using-kanban-project.html,"""Ahdithan"": Unknown word [ln 18]",False Positive,ignoreWords,,
_guide-pages/using-kanban-project.html,"""Uthayakumar"": Unknown word [ln 18]",False Positive,ignoreWords,,
_guide-pages/using-kanban-project.html,"""Tarang"": Unknown word [ln 18]",False Positive,ignoreWords,,
_guide-pages/using-kanban-project.html,"""Dani"": Unknown word [ln 20]",False Positive,ignoreWords,,
_guide-pages/using-kanban-project.html,"""Johan"": Unknown word [ln 21]",False Positive,ignoreWords,,
_guide-pages/using-kanban-project.html,"""Liyang"": Unknown word [ln 22]",False Positive,,,
_includes/about-page/about-card-executive-letter.html,"""VRMS"": Unknown word[ In 25]",False Positive,ignoreWords,https://github.com/hackforla/website/issues/5687,"excludes the term from words, but needed to be ignoreWords"
_includes/about-page/about-card-metrics.html,"""testemonial"": Unknown word.",Misspelling,Misspelling,https://github.com/hackforla/website/issues/7623,"The misspelling is in a variable, not text that is displayed on the website"
_includes/about-page/about-card-metrics.html,"""VRMS"": Unknown word[ In 32]",False Positive,words,https://github.com/hackforla/website/issues/5687,"excludes the term from words, but needed to be ignoreWords"
_includes/about-page/about-card-metrics.html,"""VRMS"": Unknown word[ In 36]",False Positive,words,https://github.com/hackforla/website/issues/5687,"excludes the term from words, but needed to be ignoreWords"
_includes/about-page/about-card-news.html,"""Inclusivity"": Unknown word.",False Positive,words,https://github.com/hackforla/website/issues/5686,excludes the term
_includes/about-page/about-card-platform.html,,False Positive,words,,
_includes/about-page/about-card-platform.html,"""codeforamerica"": Unknown word.",False Positive,ignoreWords,,
_includes/about-page/about-card-sponsors.html,"""Sonder"": Unknown word.",False Positive,ignoreWords,,
